Model,CV_MAE,CV_MAE_std,CV_RMSE,CV_RMSE_std,CV_R2,CV_R2_std,Test_MAE,Test_RMSE,Test_R2,Train_Time_s,Best_Params
Ridge,0.4767,0.0397,1.9555,0.3019,0.7392,0.0578,0.5218,2.2665,0.6898,6.49,{'model__alpha': 0.01}
Lasso,0.4769,0.0398,1.9555,0.302,0.7392,0.0579,0.5219,2.2666,0.6897,0.73,{'model__alpha': 0.001}
HistGBM,0.8379,0.0458,2.1134,0.2841,0.6963,0.0555,0.8754,2.3756,0.6592,6.7,{}
RandomForest,1.1194,0.0279,2.2861,0.2622,0.6449,0.0533,1.1498,2.54,0.6104,5.76,{}
DummyRegressor,2.8226,0.0707,3.84,0.1789,-0.0009,0.0008,2.9407,4.072,-0.0013,0.53,{}
