Model,CV_PR_AUC,CV_PR_AUC_std,CV_F1,CV_Recall,CV_Precision,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Test_PR_AUC,Train_Time_s,Best_Params
LogisticRegression,0.9837,0.0148,0.9627,0.9552,0.9706,0.9864,0.9789,0.9588,0.9688,0.9982,0.9861,0.8,{'model__C': 10.0}
HistGBM,0.9481,0.0216,0.8719,0.8355,0.9118,0.9425,0.9283,0.8007,0.8598,0.9837,0.9479,1.08,{}
RandomForest,0.9177,0.0206,0.7895,0.6882,0.9269,0.913,0.9112,0.6701,0.7723,0.9726,0.9114,0.48,{}
DummyClassifier,0.2231,0.0017,0.2358,0.2377,0.2339,0.6664,0.2466,0.2509,0.2487,0.5173,0.2268,0.07,{}
